source_key,item,story,stim
human,merry-go-round,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_merrygoround_2013.jpeg
AI,strawberries,picnic,Images/AI Generated/AI - Picnic/ai_picnic_strawberries.jpeg
human,pencil,school,Images/Human/Human - School/human_school_pencil_2016.jpg
AI,basketball,school,Images/AI Generated/AI - School/ai_school_basketball.jpg
AI,watermelon,picnic,Images/AI Generated/AI - Picnic/ai_picnic_watermelon.jpeg
human,popcorn,amusement park,Images/Human/Human - Amusement Park/human_amusementpark_popcorn_2015.jpeg
AI,basket,picnic,Images/AI Generated/AI - Picnic/ai_picnic_basket.jpeg
AI,rollercoaster,amusement park,Images/AI Generated/AI - Amusement Park/ai_amusementpark_rollercoaster.jpeg
human,marshmallow,picnic,Images/Human/Human - Picnic/human_picnic_marshmallow_2017.jpeg
AI,cube,school,Images/AI Generated/AI - School/ai_school_cube.jpg
